z,E_LCDM,D_growth,fsigma8_ref,U_struct,d_H,d_S,d_V,d_R,Gamma_H,Gamma_V,Gamma_R,CCI_v02_norm,CCI_v03_norm,F_struct_v03,curvature_log_CCI_v03
0.4625835189,1.292492242,0.7850321256,0.4762746461,0.2442619323,0.2309225084,0.2442619323,0.3265858842,0.2787541963,0.8123988254,0.753814745,0.782011119,2.359364277,2.30044024,1.585133634,5.953244538
0.4669265033,1.29589414,0.7832901889,0.4761695864,0.2465408881,0.2335141984,0.2465408881,0.3336838115,0.2835990049,0.810691925,0.7498029079,0.7790595008,2.379265958,2.323672389,1.607800166,5.867537772
0.4712694878,1.299307255,0.781553714,0.4760577252,0.2488169793,0.236191961,0.2488169793,0.3412830117,0.2887374863,0.8089358543,0.7455548093,0.7759532182,2.399300072,2.347399567,1.631512831,5.724965917
0.4756124722,1.302731557,0.7798226956,0.4759391449,0.2510901508,0.2389581781,0.2510901508,0.349383313,0.2941707455,0.8071297463,0.7410792696,0.7726955685,2.419467078,2.371625725,1.656276964,5.527056863
0.4799554566,1.306167019,0.7780971283,0.4758139269,0.2533603483,0.2418152522,0.2533603483,0.3579809403,0.2998980962,0.8052727636,0.7363873603,0.769291072,2.439767432,2.396352309,1.682091886,5.276457397
0.484298441,1.309613611,0.7763770062,0.4756821522,0.2556275182,0.2447655749,0.2556275182,0.3670685266,0.3059170508,0.8033641195,0.7314922263,0.7657454196,2.46020159,2.421578242,1.708950836,4.976796516
0.4886414254,1.313071305,0.7746623232,0.4755439015,0.2578916074,0.2478114913,0.2578916074,0.3766351808,0.3122233361,0.8014031021,0.7264088656,0.7620653989,2.480770007,2.447299958,1.736841009,4.632518557
0.4929844098,1.316540071,0.772953073,0.4753992546,0.2601525636,0.2509552621,0.2601525636,0.3866666049,0.3188109335,0.7993890991,0.7211538783,0.7582588032,2.501473134,2.473511466,1.765743657,4.248698589
0.4973273942,1.320019883,0.7712492489,0.4752482909,0.2624103351,0.2541990207,0.2624103351,0.3971452564,0.3256721386,0.797321624,0.7157451921,0.7543343267,2.522311423,2.500204462,1.795634261,3.830852271
0.5016703786,1.32351071,0.769550844,0.4750910893,0.2646648707,0.2575447277,0.2646648707,0.4080505476,0.3327976376,0.795200344,0.7102017763,0.7503014499,2.543285323,2.527368464,1.826482758,3.38475112
0.506013363,1.327012524,0.767857851,0.474927728,0.2669161202,0.2609941209,0.2669161202,0.4193590739,0.3401765974,0.7930251089,0.7045433523,0.7461703196,2.564395281,2.554990973,1.858253801,2.916252038
0.5103563474,1.330525297,0.7661702624,0.4747582847,0.2691640338,0.2645486616,0.2691640338,0.4310448664,0.347796764,0.7907959815,0.6987901103,0.7419516256,2.585641745,2.583057657,1.890907062,2.431147467
0.5146993318,1.334049,0.7644880706,0.4745828365,0.2714085622,0.2682094768,0.2714085622,0.4430796612,0.355644569,0.7885132687,0.6929624378,0.7376564793,2.607025158,2.61155254,1.924397541,1.93503998
0.5190423163,1.337583605,0.7628112676,0.4744014601,0.2736496572,0.2719772985,0.2736496572,0.4554331801,0.3637052393,0.786177553,0.6870806669,0.7332962954,2.628545964,2.640458202,1.958675893,1.433242697
0.5233853007,1.341129082,0.7611398451,0.4742142314,0.2758872708,0.2758523979,0.2758872708,0.4680734192,0.3719629086,0.7837897249,0.6811648429,0.7288826788,2.650204604,2.669755981,1.993688762,0.9307049437
0.5277282851,1.344685405,0.7594737947,0.4740212258,0.2781213559,0.2798345179,0.2781213559,0.4809669414,0.3804007297,0.7813510153,0.6752345188,0.7244273192,2.672001517,2.699426178,2.029379103,0.4319610945
0.5320712695,1.348252543,0.7578131077,0.4738225183,0.280351866,0.2839228013,0.280351866,0.4940791692,0.3890009853,0.7788630274,0.6693085752,0.7199418939,2.693937143,2.729448247,2.065686507,-0.05890043226
0.5364142539,1.35183047,0.7561577752,0.473618183,0.2825787552,0.2881157174,0.2825787552,0.507374677,0.3977451972,0.7763277681,0.663405068,0.7154379797,2.716011917,2.759800994,2.102547516,-0.5382514764
0.5407572383,1.355419156,0.754507788,0.4734082937,0.2848019783,0.2924109865,0.2848019783,0.5208174792,0.4066142328,0.7737476781,0.6575411012,0.7109269739,2.738226275,2.790462754,2.139895927,-1.002925234
0.5451002227,1.359018573,0.7528631368,0.4731929235,0.2870214905,0.2968055036,0.2870214905,0.5343713143,0.4155884089,0.7711256601,0.6517327264,0.7064200255,2.760580651,2.821411565,2.177663085,-1.450207371
0.5494432071,1.362628694,0.751223812,0.472972145,0.289237248,0.3012952624,0.289237248,0.5479999218,0.4246475921,0.7684651046,0.6459948647,0.7019279754,2.783075475,2.852625331,2.215778169,-1.877819907
0.5537861915,1.366249489,0.7495898039,0.47274603,0.2914492075,0.3058752811,0.2914492075,0.5616673112,0.4337712961,0.7657699127,0.6403412512,0.6974613055,2.805711179,2.884081975,2.254168465,-2.283900063
0.5581291759,1.369880931,0.7479611024,0.47251465,0.2936573261,0.3105395304,0.2936573261,0.575338021,0.4429387757,0.7630445147,0.6347843997,0.6930300972,2.828488191,2.915759575,2.29275963,-2.666975712
0.5624721604,1.373522992,0.7463376974,0.4722780758,0.2958615619,0.3152808669,0.2958615619,0.5889773663,0.4521291166,0.7602938849,0.6293355848,0.6886439977,2.851406938,2.947636493,2.331475946,-3.02593855
0.5668151448,1.377175644,0.7447195785,0.4720363776,0.2980618733,0.3200909738,0.2980618733,0.6025516724,0.4613213231,0.7575235494,0.62400484,0.6843121935,2.874467845,2.979691492,2.370240576,-3.36001572
0.5711581292,1.380838858,0.7431067352,0.471789625,0.3002582196,0.3249603091,0.3002582196,0.6160284927,0.4704944009,0.7547395897,0.6188009707,0.6800433918,2.897671337,3.011903837,2.4089758,-3.668740296
0.5755011136,1.384512607,0.7414991568,0.4715378871,0.3024505605,0.3298780669,0.3024505605,0.6293768088,0.4796274379,0.7519486372,0.613731578,0.6758458071,2.921017836,3.044253386,2.447603265,-3.95192086
0.579844098,1.388196862,0.7398968323,0.4712812324,0.3046388565,0.3348321516,0.3046388565,0.6425672114,0.4886996815,0.7491578614,0.6088030938,0.6717271539,2.944507762,3.076720672,2.486044224,-4.209610335
0.5841870824,1.391891597,0.7382997507,0.4710197288,0.3068230686,0.3398091696,0.3068230686,0.6555720586,0.4976906141,0.7463749485,0.6040208246,0.6676946431,2.968141535,3.109286969,2.524219782,-4.44207422
