z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
5.648030158125354205e+01,1.739726432343801504e-02,7.320120140090165262e-02,7.315610455156100478e-02,4.422763603536068733e-02,4.420039048753535843e-02,-6.160670655344238633e-02,-6.160299366564755269e-02
5.595226779712822207e+01,1.755856331414469562e-02,7.370568364756403812e-02,7.366027602247919581e-02,4.443855459024952798e-02,4.441117918538257242e-02,-6.160668056749381977e-02,-6.160282466289333098e-02
5.542908471262535386e+01,1.772135779080360671e-02,7.421258174231126770e-02,7.416686185411756893e-02,4.465221118290052527e-02,4.462470423701816319e-02,-6.160665364324902776e-02,-6.160265114238240580e-02
5.491070776755291405e+01,1.788566161883462305e-02,7.472192677974123787e-02,7.467589312195044293e-02,4.486859525806415755e-02,4.484095509377761246e-02,-6.160662575857944745e-02,-6.160247301608437476e-02
5.439709281106399885e+01,1.805148879221110322e-02,7.523374973720330094e-02,7.518740078427679774e-02,4.508769675107523328e-02,4.505992169728102736e-02,-6.160659689089445501e-02,-6.160229019359599045e-02
5.388819609789671006e+01,1.821885343465167242e-02,7.574808148033262967e-02,7.570141568775118346e-02,4.530950607979132572e-02,4.528159447137534988e-02,-6.160656701722881656e-02,-6.160210258488076768e-02
5.338397428464797656e+01,1.838776980082328094e-02,7.626495276849404314e-02,7.621796857282434057e-02,4.553401413671587933e-02,4.550596431426533889e-02,-6.160653611407244934e-02,-6.160191009367381454e-02
5.288438442608222800e+01,1.855825227755519141e-02,7.678439426013730640e-02,7.673709007909516877e-02,4.576121228129469837e-02,4.573302259081235555e-02,-6.160650415744132330e-02,-6.160171262304082324e-02
5.238938397147350656e+01,1.873031538506438401e-02,7.730643651806569372e-02,7.725881075057595970e-02,4.599109233236642336e-02,4.596276112499007860e-02,-6.160647112301493450e-02,-6.160151007417267316e-02
5.189893076098150715e+01,1.890397377819221653e-02,7.783111001461953671e-02,7.778316104087300287e-02,4.622364656077385808e-02,4.619517219249940493e-02,-6.160643698583672528e-02,-6.160130234860562715e-02
5.141298302206056547e+01,1.907924224765266893e-02,7.835844513677696355e-02,7.831017131828403588e-02,4.645886768214524398e-02,4.643024851355848776e-02,-6.160640172053478969e-02,-6.160108933897876643e-02
5.093149936590212690e+01,1.925613572129198509e-02,7.888847219117313403e-02,7.883987187081452352e-02,4.669674884982004393e-02,4.666798324582820123e-02,-6.160636530117566401e-02,-6.160087093933423741e-02
5.045443878390924652e+01,1.943466926536022155e-02,7.942122140904012140e-02,7.937229291111450036e-02,4.693728364792944252e-02,4.690836997749882331e-02,-6.160632770129087499e-02,-6.160064704105365496e-02
4.998176064420422904e+01,1.961485808579432194e-02,7.995672295106884264e-02,7.990746458133748953e-02,4.718046608463302011e-02,4.715140272053063020e-02,-6.160628889392801705e-02,-6.160041753350977561e-02
4.951342468816762477e+01,1.979671752951334129e-02,8.049500691219493853e-02,8.044541695792353786e-02,4.742629058547905008e-02,4.739707590401932846e-02,-6.160624885155183833e-02,-6.160018230197945865e-02
4.904939102700951992e+01,1.998026308572551160e-02,8.103610332631007440e-02,8.098618005630763006e-02,4.767475198693955224e-02,4.764538436773544522e-02,-6.160620754605769522e-02,-6.159994122707181802e-02
4.858962013837212623e+01,2.016551038724748168e-02,8.158004217090035481e-02,8.152978383555531394e-02,4.792584553006282166e-02,4.789632335577799493e-02,-6.160616494872081517e-02,-6.159969419070159685e-02
4.813407286296360610e+01,2.035247521183578337e-02,8.212685337161347576e-02,8.207625820292700769e-02,4.817956685426781627e-02,4.814988851037556306e-02,-6.160612103026938402e-02,-6.159944107016034759e-02
4.768271040122279913e+01,2.054117348353065933e-02,8.267656680675607161e-02,8.262563301837264063e-02,4.843591199127959129e-02,4.840607586582462013e-02,-6.160607576083921427e-02,-6.159918174007514291e-02
