d_H,d_B,d_S,d_V,d_R,label,source,alpha,runtime,C_hat
0.5,0.00925925925925919,0.0,0.8621848739495799,0.23349810865920373,sat,sat_hardness_atlas,3.0,8.20159912109375e-05,0.0386467357523859
0.5,0.011111111111111183,0.0,0.861624649859944,0.2278113926333084,sat,sat_hardness_atlas,3.0,7.987022399902344e-05,0.038607022194245
0.5,0.005555555555555647,0.0,0.8635854341736695,0.25855570889185364,sat,sat_hardness_atlas,3.0,0.0001630783081054,0.0389494832831719
0.5,0.062962962962963,0.0,0.8614845938375351,0.24789909353939588,sat,sat_hardness_atlas,3.0,0.0001130104064941,0.0370395531444747
0.5,0.007407407407407418,0.0,0.8602240896358544,0.24230166254919006,sat,sat_hardness_atlas,3.0,9.012222290039062e-05,0.0394665380883699
0.5,0.04629629629629639,0.0,0.8599439775910365,0.23329952500316287,sat,sat_hardness_atlas,3.0,8.869171142578125e-05,0.037802658889045
0.5,0.011111111111111183,0.002777777777777768,0.8638655462184874,0.2817706773999543,sat,sat_hardness_atlas,3.0,7.605552673339844e-05,0.0390657698685344
0.5,0.020370370370370372,0.0,0.8626050420168068,0.26301737497417976,sat,sat_hardness_atlas,3.0,7.390975952148438e-05,0.0387442491757851
0.5,0.012962962962962954,0.0,0.8598039215686275,0.2567589321392493,sat,sat_hardness_atlas,3.0,8.678436279296875e-05,0.0396900715273447
0.5,0.005555555555555647,0.0,0.8595238095238096,0.215331912729122,sat,sat_hardness_atlas,3.0,0.000129222869873,0.0391377454893382
0.5,0.011111111111111183,0.0,0.8613445378151261,0.24947807832023405,sat,sat_hardness_atlas,3.0,7.510185241699219e-05,0.0391639909621487
0.5,0.0018518518518519933,0.0,0.8600840336134454,0.23369636960462814,sat,sat_hardness_atlas,3.0,8.416175842285156e-05,0.039533652050085
0.5,0.02592592592592602,0.0,0.8598039215686275,0.24044072013825635,sat,sat_hardness_atlas,3.0,7.510185241699219e-05,0.0388055606790082
0.5,0.0037037037037036535,0.0,0.8613445378151261,0.2370185204730091,sat,sat_hardness_atlas,3.0,7.677078247070312e-05,0.0391784963614784
0.5,0.01851851851851838,0.0,0.8620448179271709,0.2298730813212182,sat,sat_hardness_atlas,3.0,7.009506225585938e-05,0.0382459750739806
