d_H,d_B,d_S,d_V,d_R,label,source
0.5,0.0203703703703703,0.0,0.861764705882353,0.2577421613477136,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8603641456582634,0.2430382642565698,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.861764705882353,0.2673276171927768,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8602240896358544,0.2434049277375455,sat,sat_hardness_atlas
0.5,0.05,0.0,0.8610644257703082,0.2658049361863335,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8623249299719888,0.2513812341736112,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8614845938375351,0.2503467409343165,sat,sat_hardness_atlas
0.5,0.0333333333333332,0.0,0.861624649859944,0.2452221494959862,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8605042016806723,0.238169868062046,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8600840336134454,0.256923336797537,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8612044817927171,0.2814998381117006,sat,sat_hardness_atlas
0.5,0.0407407407407408,0.0,0.8623249299719888,0.2512094113150533,sat,sat_hardness_atlas
0.5,0.0666666666666667,0.0,0.8631652661064426,0.2592027963639405,sat,sat_hardness_atlas
0.5,0.0537037037037035,0.0,0.8599439775910365,0.2455824222812946,sat,sat_hardness_atlas
0.5,0.062962962962963,0.0,0.8628851540616247,0.2503467409343165,sat,sat_hardness_atlas
0.5,0.0314814814814814,0.0,0.8631652661064426,0.247722410475065,sat,sat_hardness_atlas
0.5,0.0,0.0,0.8621848739495799,0.2549361797020291,sat,sat_hardness_atlas
0.5,0.0481481481481481,0.0,0.8638655462184874,0.2459416534148388,sat,sat_hardness_atlas
0.5,0.0407407407407408,0.0,0.8624649859943978,0.2520661782532811,sat,sat_hardness_atlas
0.5,0.062962962962963,0.0,0.8621848739495799,0.2304848093533482,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8621848739495799,0.2508650565011033,sat,sat_hardness_atlas
0.5,0.0277777777777777,0.0,0.8624649859943978,0.2609654082895242,sat,sat_hardness_atlas
0.5,0.0444444444444444,0.0,0.8598039215686275,0.2413746966194703,sat,sat_hardness_atlas
0.5,0.0296296296296295,0.0,0.8612044817927171,0.2704673427716786,sat,sat_hardness_atlas
0.5,0.0425925925925926,0.0,0.8621848739495799,0.2501734906686308,sat,sat_hardness_atlas
0.5,0.0,0.0,0.8626050420168068,0.2691311762465619,sat,sat_hardness_atlas
0.5,0.0907407407407407,0.0,0.8623249299719888,0.239499616309423,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8627450980392157,0.2354663837315095,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8633053221288516,0.2459416534148388,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8612044817927171,0.2462998494227358,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8638655462184874,0.2567589321392493,sat,sat_hardness_atlas
