set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,HBR,0.0,0.001,0.002,0.16109712692851613,0.13814833302014087,0.11448931905320188,0.8600072776802227,1.0,0.9959369902592291
jittered_zero,HBR,0.0,0.001,0.005,0.16106174987612004,0.13801204666073785,0.11369144855112902,0.8599369485364905,1.0,0.9959670309737076
jittered_zero,HBR,0.0,0.001,0.01,0.16178490814459648,0.13822275363739472,0.11187697838575301,0.8591036540259818,1.0,0.996016554729805
jittered_zero,HBR,0.0,0.001,0.02,0.16526408659465858,0.14019398498471403,0.10745322016345085,0.855638454617325,1.0,0.996113594012157
jittered_zero,HBR,0.0,0.001,0.05,0.18438521032725017,0.1592009297100213,0.09445811280086326,0.8381556567268396,1.0,0.9963892701195458
jittered_zero,HBR,0.0,0.002,-0.05,0.21131585679254927,0.1827871097687223,0.10729261722527388,0.8214002277480669,1.0,0.9907981280086032
jittered_zero,HBR,0.0,0.002,-0.02,0.1773745512087895,0.1505710644791802,0.11315596007118259,0.8497522067529146,1.0,0.9914588662198607
jittered_zero,HBR,0.0,0.002,-0.01,0.16975650755307675,0.14449669140693064,0.11501775797971786,0.8562582644403356,1.0,0.9916674867135266
jittered_zero,HBR,0.0,0.002,-0.005,0.16706562869672292,0.14299374737226642,0.11550696954755903,0.8585300784244148,1.0,0.9917697005645572
jittered_zero,HBR,0.0,0.002,-0.002,0.16594061658105944,0.142363237611702,0.11550034571455058,0.8594465753298236,1.0,0.9918303683990637
jittered_zero,HBR,0.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,HBR,0.0,0.002,0.002,0.1651510118417639,0.14183911628976797,0.11495972117845871,0.8600072776802227,1.0,0.9919104962497242
jittered_zero,HBR,0.0,0.002,0.005,0.16508573239656188,0.1416812750000047,0.11415953275611938,0.8599369485364905,1.0,0.9919700251217186
