epsilon,chi2
-1.360000000000000098e-03,1.242568260664357993e+01
-1.339999999999999178e-03,1.242584568768068998e+01
-1.319999999999999993e-03,1.242600900389694729e+01
-1.299999999999999073e-03,1.242617255529236786e+01
-1.279999999999999888e-03,1.242633634186695346e+01
-1.259999999999998968e-03,1.242650036362066857e+01
-1.239999999999999783e-03,1.242666462055355936e+01
-1.219999999999998863e-03,1.242682911266560453e+01
-1.199999999999999678e-03,1.242699383995679341e+01
-1.179999999999998758e-03,1.242715880242715265e+01
-1.159999999999999573e-03,1.242732400007666449e+01
-1.139999999999998653e-03,1.242748943290533070e+01
-1.119999999999999468e-03,1.242765510091314951e+01
-1.100000000000000283e-03,1.242782100410013868e+01
-1.079999999999999363e-03,1.242798714246626979e+01
-1.060000000000000178e-03,1.242815351601155704e+01
-1.039999999999999258e-03,1.242832012473600045e+01
-1.020000000000000073e-03,1.242848696863959823e+01
-9.999999999999991535e-04,1.242865404772236460e+01
-9.799999999999999684e-04,1.242882136198427645e+01
-9.599999999999990485e-04,1.242898891142534445e+01
-9.399999999999998634e-04,1.242915669604556861e+01
-9.199999999999989436e-04,1.242932471584495779e+01
-8.999999999999997585e-04,1.242949297082349247e+01
-8.799999999999988387e-04,1.242966146098118507e+01
-8.599999999999996536e-04,1.242983018631803205e+01
-8.399999999999987338e-04,1.242999914683403695e+01
-8.199999999999995487e-04,1.243016834252921043e+01
-7.999999999999986289e-04,1.243033777340351875e+01
-7.799999999999994438e-04,1.243050743945699921e+01
-7.600000000000002587e-04,1.243067734068962338e+01
-7.399999999999993389e-04,1.243084747710141080e+01
-7.200000000000001538e-04,1.243101784869235082e+01
-6.999999999999992339e-04,1.243118845546244344e+01
-6.800000000000000488e-04,1.243135929741170287e+01
-6.599999999999991290e-04,1.243153037454011312e+01
-6.399999999999999439e-04,1.243170168684768129e+01
-6.199999999999990241e-04,1.243187323433440206e+01
-5.999999999999998390e-04,1.243204501700027542e+01
-5.799999999999989192e-04,1.243221703484530316e+01
-5.599999999999997341e-04,1.243238928786950481e+01
-5.399999999999988143e-04,1.243256177607284663e+01
-5.199999999999996292e-04,1.243273449945534459e+01
-4.999999999999987094e-04,1.243290745801700226e+01
-4.799999999999995243e-04,1.243308065175782140e+01
-4.599999999999986044e-04,1.243325408067778248e+01
-4.399999999999994194e-04,1.243342774477690504e+01
-4.200000000000002343e-04,1.243360164405517665e+01
-3.999999999999993144e-04,1.243377577851262039e+01
-3.800000000000001293e-04,1.243395014814922206e+01
-3.599999999999992095e-04,1.243412475296496567e+01
-3.400000000000000244e-04,1.243429959295986897e+01
-3.199999999999991046e-04,1.243447466813392843e+01
-2.999999999999999195e-04,1.243464997848714759e+01
-2.799999999999989997e-04,1.243482552401952468e+01
-2.599999999999998146e-04,1.243500130473105436e+01
-2.399999999999988948e-04,1.243517732062172954e+01
-2.199999999999997097e-04,1.243535357169158218e+01
-1.999999999999987899e-04,1.243553005794057853e+01
-1.799999999999996048e-04,1.243570677936872748e+01
-1.599999999999986849e-04,1.243588373597603614e+01
-1.399999999999994998e-04,1.243606092776249383e+01
-1.199999999999985800e-04,1.243623835472811834e+01
-9.999999999999939493e-05,1.243641601687290077e+01
-8.000000000000020983e-05,1.243659391419682692e+01
-5.999999999999929001e-05,1.243677204669991632e+01
-4.000000000000010492e-05,1.243695041438216364e+01
-1.999999999999918510e-05,1.243712901724356712e+01
0.000000000000000000e+00,1.243730785528411786e+01
2.000000000000091982e-05,1.243748692850383186e+01
4.000000000000010492e-05,1.243766623690269846e+01
6.000000000000102474e-05,1.243784578048071587e+01
8.000000000000020983e-05,1.243802555923790365e+01
1.000000000000011297e-04,1.243820557317424047e+01
1.200000000000003147e-04,1.243838582228973877e+01
1.400000000000012346e-04,1.243856630658438611e+01
1.600000000000004197e-04,1.243874702605819316e+01
1.800000000000013395e-04,1.243892798071113681e+01
2.000000000000005246e-04,1.243910917054326504e+01
2.200000000000014444e-04,1.243929059555453875e+01
2.400000000000006295e-04,1.243947225574496684e+01
2.599999999999998146e-04,1.243965415111454575e+01
2.800000000000007344e-04,1.243983628166329147e+01
2.999999999999999195e-04,1.244001864739118268e+01
3.200000000000008393e-04,1.244020124829824070e+01
3.400000000000000244e-04,1.244038408438444598e+01
3.600000000000009442e-04,1.244056715564981097e+01
3.800000000000001293e-04,1.244075046209433566e+01
4.000000000000010492e-04,1.244093400371799163e+01
4.200000000000002343e-04,1.244111778052083572e+01
4.400000000000011541e-04,1.244130179250282175e+01
4.600000000000003392e-04,1.244148603966397104e+01
4.800000000000012590e-04,1.244167052200426404e+01
5.000000000000004441e-04,1.244185523952372563e+01
5.200000000000013639e-04,1.244204019222233093e+01
5.400000000000005490e-04,1.244222538010008883e+01
5.600000000000014688e-04,1.244241080315701886e+01
5.800000000000006539e-04,1.244259646139310682e+01
5.999999999999998390e-04,1.244278235480834383e+01
6.200000000000007588e-04,1.244296848340272277e+01
6.399999999999999439e-04,1.244315484717626852e+01
6.600000000000008638e-04,1.244334144612898108e+01
6.800000000000000488e-04,1.244352828026083913e+01
7.000000000000009687e-04,1.244371534957185865e+01
7.200000000000001538e-04,1.244390265406202900e+01
7.400000000000010736e-04,1.244409019373135372e+01
7.600000000000002587e-04,1.244427796857982926e+01
7.800000000000011785e-04,1.244446597860747339e+01
8.000000000000003636e-04,1.244465422381427011e+01
8.200000000000012834e-04,1.244484270420023364e+01
8.400000000000004685e-04,1.244503141976533556e+01
8.600000000000013883e-04,1.244522037050958829e+01
8.800000000000005734e-04,1.244540955643301139e+01
9.000000000000014932e-04,1.244559897753558175e+01
9.200000000000006783e-04,1.244578863381731715e+01
9.399999999999998634e-04,1.244597852527820336e+01
9.600000000000007833e-04,1.244616865191825106e+01
9.799999999999999684e-04,1.244635901373744602e+01
1.000000000000000888e-03,1.244654961073580246e+01
1.020000000000000073e-03,1.244674044291331683e+01
1.040000000000000993e-03,1.244693151026998201e+01
1.060000000000000178e-03,1.244712281280580513e+01
1.080000000000001098e-03,1.244731435052077373e+01
1.100000000000000283e-03,1.244750612341491625e+01
1.120000000000001203e-03,1.244769813148820425e+01
1.140000000000000388e-03,1.244789037474065907e+01
1.160000000000001308e-03,1.244808285317225760e+01
1.180000000000000493e-03,1.244827556678302294e+01
1.200000000000001413e-03,1.244846851557292666e+01
