mu,pi0,stable,background_safe,fail_reason,min_P_X,min_D,min_c_s2,max_c_s2,max_omega_maat,final_a,final_lambda,final_X,final_w_maat,final_omega_maat
0.004641588833612777,1.673703703703704,True,True,,1.000081361116137,0.9999838659044326,1.0,1.0001128095888983,0.00014292778489161106,1003.9137651957276,0.017528738631231725,9.974474562124866e-22,-0.8988556936873656,2.3308017258871708e-05
0.004641588833612777,1.7911111111111113,True,True,,1.0000813730006455,0.999979326607369,1.0,1.0001099150342838,0.00014297889159762119,1004.2078647019918,0.017531299073556963,1.1402710614722846e-21,-0.8988556945054685,2.3314826843334846e-05
0.004641588833612777,1.9085185185185187,True,True,,1.0000813851586494,0.9999760543398649,1.0,1.0001126903004876,0.00014303163265092588,1004.5208121986759,0.017533918438687127,1.292224308928741e-21,-0.8988556953424399,2.3321794164131767e-05
0.004641588833612777,2.025925925925926,True,True,,1.0000760368426704,0.9999737873281734,1.0,1.0001145650358296,0.00014308584808275926,1004.8524066876988,0.01753658699627782,1.4532048105492198e-21,-0.8988556961951714,2.3328893403613958e-05
0.004641588833612777,2.1433333333333335,True,True,,1.0000703921681149,0.9999723090389249,1.0,1.0001156383584728,0.0001431413925016001,1005.2024377189013,0.01753929598409111,1.6231052613284092e-21,-0.8988556970608639,2.333610130571262e-05
0.004641588833612777,2.260740740740741,True,True,,1.0000652736017162,0.9999714433042439,1.0,1.0001160114485577,0.00014319813380547268,1005.570685907591,0.017542037524525062,1.801813691265307e-21,-0.8988556979370005,2.3343396955151346e-05
0.004641588833612777,2.3781481481481483,True,True,,1.0000606298391976,0.9999710485520965,1.0,1.0001157829318195,0.00014325595193057455,1005.956923465567,0.01754480454323197,1.989213724326089e-21,-0.8988556988213195,2.33507615622023e-05
0.004641588833612777,2.4955555555555557,True,True,,1.0000564132712462,0.9999710120747806,1.0,1.0001150457912347,0.00014331473767062566,1006.3609147418913,0.017547590692068057,2.185184842660225e-21,-0.8988556997117918,2.3358178258917544e-05
0.004641588833612777,2.612962962962963,True,True,,1.0000525803305245,0.9999712448017937,1.0,1.000113885492789,0.0001433743915850466,1006.7824167701939,0.017550390277571472,2.38960265448708e-21,-0.8988557006065965,2.336563190999862e-05
0.004641588833612777,2.7303703703703706,True,True,,1.000049091538929,0.9999716767643965,1.0,1.0001123790313822,0.00014343482300327185,1007.2211798193034,0.01755319819546872,2.602339164203904e-21,-0.8988557015041002,2.3373108939623894e-05
0.004641588833612777,2.847777777777778,True,True,,1.0000459113711435,0.9999722532834658,1.0,1.000112710539166,0.0001434959491256176,1007.6769479444921,0.01755600987126865,2.823263043384303e-21,-0.8988557024028393,2.3380597174386584e-05
